Name,Position Name,Date,Total Distance (m),Velocity Band 6 Total Effort Count,Sprint (m),HSR (m),Velocity Band 7 Total Distance (Set 2) (m),Total Player Load,Velocity Band 6 Total Duration,Velocity Band 7 Total Effort Count (Set 2),Acceleration,Deceleration,Field Time,Maximum Velocity (km/h),Meterage Per Minute,Max Vel (% Max),Running (m)
Player 1,Striker,31/03/2021,5717.72723,2,35.48,264.4,0,570.98332,5,0,111,105,74,30.34067,76.95461,94.81447,512.30001
Player 2,Wide Midfielder,31/03/2021,2332.12769,0,0,398.78,0,229.69786,0,0,16,0,27,22.98606,85.68748,67.60601,558.46001
Player 3,Central Midfielder,31/03/2021,5979.85199,1,16.75,193.51,0,682.47842,2,0,123,79,74,27.77473,80.48253,92.58237,696.97
Player 4,Central Midfielder,31/03/2021,7299.24945,4,62.54,448.32,0,815.93938,9,0,180,146,83,26.76988,88.20845,95.60669,1002.87001
Player 5,Central Midfielder,31/03/2021,6069.82959,3,41.29,311.83001,0,594.59166,6,0,147,124,74,28.64334,81.69353,92.39778,843.30998
Player 6,Central Defender,31/03/2021,5666.71729,7,75.02,253.89,0,574.92392,10,0,133,108,74,29.54548,76.26807,101.88091,426.81
Player 7,Full Back,31/03/2021,6654.2998,10,109.05,464.93999,0,688.34952,15,0,191,164,74,28.43157,89.55989,94.77182,883.08001
Player 8,Central Midfielder,31/03/2021,6423.79803,6,66.99,315.81999,0,636.84247,10,0,116,113,74,27.75715,86.45758,86741,841.03001
Player 9,Central Defender,31/03/2021,3467.84698,3,42.2,141.45,0,387.42904,6,0,86,62,55,27.61254,63.33967,86.28908,241.71
Player 10,Central Defender,31/03/2021,6129.15356,3,51.32,270.98,0,537.97397,7,0,129,93,74,28.80546,82.49197,106.68673,542.02
Player 11,Wide Midfielder,31/03/2021,6378.61823,9,116.76,269.66,0,672.59913,16,0,139,87,74,29.84373,85.84951,93.26152,679.5
Player 12,Wide Midfielder,31/03/2021,6214.78662,6,74.5,503.40001,0,760.08884,11,0,145,130,74,27.50731,83.6445,88.73315,651.38
Player 13,Striker,31/03/2021,6010.88074,9,92.08,303.18001,0,617.42755,13,0,106,97,74,28.56663,80.90014,92.15033,662.93998
Player 14,Central Midfielder,31/03/2021,2391.45789,0,0,369.09,0,254.22726,0,0,14,0,27,22.41352,87.86741,72.3016,580.62
Player 15,Full Back,31/03/2021,5614.11414,2,31.09,444.07001,0,598.52663,4,0,112,114,74,28.99213,75.56008,90.60029,577.85002
Player 16,Full Back,31/03/2021,5525.99329,4,51.37,180.35,0,536.28683,7,0,79,70,74,29.76119,74.37407,90.1854,497.8
